iter	Passed	Remaining
0	93	140771
1	193	145274
2	287	143403
3	378	141687
4	470	140662
5	560	139543
6	657	140287
7	747	139360
8	849	140730
9	943	140519
10	1033	139962
11	1127	139830
12	1226	140312
13	1314	139509
14	1458	144343
15	1606	149044
16	1744	152166
17	1890	155630
18	2038	158888
19	2188	161920
20	2330	164107
21	2418	162495
22	2512	161316
23	2603	160132
24	2696	159113
25	2787	158013
26	2876	156902
27	2968	156051
28	3059	155181
29	3149	154315
30	3241	153616
31	3329	152719
32	3421	152091
33	3518	151690
34	3608	151041
35	3696	150332
36	3789	149853
37	3876	149136
38	3978	149059
39	4066	148419
40	4162	148117
41	4254	147693
42	4354	147558
43	4445	147116
44	4536	146676
45	4622	146125
46	4711	145647
47	4810	145512
48	4899	145094
49	4993	144802
50	5082	144412
51	5178	144190
52	5268	143843
53	5359	143510
54	5449	143169
55	5536	142772
56	5627	142454
57	5715	142093
58	5805	141802
59	5894	141468
60	5999	141525
61	6088	141219
62	6184	141061
63	6272	140734
64	6359	140391
65	6447	140090
66	6546	140019
67	6643	139912
68	6738	139753
69	6828	139505
70	6919	139266
71	7005	138935
72	7107	138946
73	7198	138722
74	7288	138477
75	7376	138219
76	7464	137941
77	7554	137722
78	7648	137585
79	7746	137494
80	7839	137342
81	7934	137202
82	8029	137077
83	8120	136888
84	8232	137046
85	8325	136887
86	8413	136640
87	8502	136424
88	8598	136319
89	8691	136160
90	8788	136074
91	8888	136039
92	8977	135823
93	9067	135632
94	9157	135430
95	9250	135293
96	9339	135081
97	9430	134917
98	9524	134786
99	9611	134565
100	9705	134441
101	9791	134205
102	9885	134081
103	9982	133992
104	10070	133797
105	10155	133554
106	10244	133367
107	10328	133119
108	10418	132957
109	10518	132920
110	10613	132809
111	10714	132777
112	10804	132618
113	10897	132495
114	10987	132329
115	11081	132210
116	11183	132199
117	11272	132018
118	11358	131813
119	11446	131638
120	11539	131507
121	11627	131336
122	11719	131204
123	11808	131041
124	11898	130881
125	12002	130889
126	12143	131283
127	12235	131148
128	12318	130918
129	12406	130743
130	12493	130562
131	12582	130399
132	12677	130297
133	12791	130396
134	12881	130241
